event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,population_1km,population_2km,population_5km,population_best
IRN36649,2026-03-09,2026,2,Demonstrations,Protests,Peaceful protest,Protesters (Iran),,6,,,0,60,,364,Middle East,Iran,Kohgiluyeh and Boyer-Ahmad,Kohgeluyeh,Central,Dehdasht,30.7949,50.5646,1,FARS News Agency (Iran),National,"Around 9 March 2026 (as reported), residents marched in Dehdasht (Dehdasht, Kohgiluyeh and Boyer-Ahmad), showing their support for the appointment of Mojtaba Khamenei as Iran New Supreme leader, condemning the confirmed death of Iran's Supreme Leader Ali Khamenei, and chanting slogans and condemning the U.S. and Israeli attacks on Iran.",0,crowd size=no report; US-Iran regional conflict,1773061602,,,,
IRN36664,2026-03-09,2026,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of the United States (2025-),,8,,,0,80,,364,Middle East,Iran,Fars,Larestan,Central,Lar,27.6661,54.3358,1,Mamlekate,New media,"On 9 March 2026, U.S. forces attacked unspecified targets in Lar (Larestan, Fars), causing a fire (coded as air/drone strikes by default). Israel and the United States launched a joint operation codenamed 'Roaring Lion' by Israel and 'Epic Fury' by the United States on 28 February 2026. Israeli forces were excluded as actors in this event because the reported location falls outside the declared Israeli strike zones at the time of reporting. Casualties unknown.",0,US-Iran regional conflict,1773061602,,,,
IRN36634,2026-03-09,2026,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,,,0,80,,364,Middle East,Iran,Isfahan,Lenjan,Fulad Shahr,Fulad Shahr,32.4907,51.4212,1,Twitter,New media,"On 9 March 2026, Israeli forces attacked unspecified targets in Fulad Shahr (Lenjan, Isfahan) (coded as air/drone strikes by default). Israel and the United States launched a joint operation codenamed 'Roaring Lion' by Israel and 'Epic Fury' by the United States on 28 February 2026. U.S. forces were excluded as actors in this event because the reported location falls outside the declared U.S. strike zones at the time of reporting. Casualties unknown.",0,US-Iran regional conflict,1773061602,,,,
IRN36662,2026-03-09,2026,2,Demonstrations,Protests,Peaceful protest,Protesters (Iran),,6,,,0,60,,364,Middle East,Iran,Hamadan,Hamadan,Central,Hamadan,34.7992,48.5146,1,Tasnim News Agency,National,"Around 9 March 2026 (as reported), residents marched in Hamadan (Hamadan, Hamadan), showing their support for the appointment of Mojtaba Khamenei as Iran New Supreme leader, condemning the confirmed death of Iran's Supreme Leader Ali Khamenei, and chanting slogans and condemning the U.S. and Israeli attacks on Iran.",0,crowd size=no report; US-Iran regional conflict,1773061602,,,,
IRN36661,2026-03-09,2026,2,Demonstrations,Protests,Peaceful protest,Protesters (Iran),,6,,,0,60,,364,Middle East,Iran,West Azerbaijan,Khoy,Central,Khvoy,38.5503,44.9521,1,FARS News Agency (Iran),National,"Around 9 March 2026 (as reported), residents marched in Khvoy (Khoy, West Azerbaijan), showing their support for the appointment of Mojtaba Khamenei as Iran New Supreme leader, condemning the confirmed death of Iran's Supreme Leader Ali Khamenei, and chanting slogans and condemning the U.S. and Israeli attacks on Iran.",0,crowd size=no report; US-Iran regional conflict,1773061602,,,,
IRN36665,2026-03-09,2026,2,Demonstrations,Protests,Peaceful protest,Protesters (Iran),,6,,,0,60,,364,Middle East,Iran,Khuzestan,Ahvaz,Central,Ahvaz,31.3190,48.6842,1,Mehr News Agency,National,"Around 9 March 2026 (as reported), residents marched in the Golestan area in Ahvaz (Ahvaz, Khuzestan), showing their support for the appointment of Mojtaba Khamenei as Iran New Supreme leader, condemning the confirmed death of Iran's Supreme Leader Ali Khamenei, and chanting slogans and condemning the U.S. and Israeli attacks on Iran.",0,crowd size=no report; US-Iran regional conflict,1773061602,,,,
IRN36659,2026-03-09,2026,2,Demonstrations,Protests,Peaceful protest,Protesters (Iran),,6,,,0,60,,364,Middle East,Iran,Razavi Khorasan,Mashhad,Central,Mashhad,36.3156,59.5680,1,FARS News Agency (Iran),National,"Around 9 March 2026 (as reported), residents marched in Mashhad (Mashhad, Razavi Khorasan), showing their support for the appointment of Mojtaba Khamenei as Iran New Supreme leader, condemning the confirmed death of Iran's Supreme Leader Ali Khamenei, and chanting slogans and condemning the U.S. and Israeli attacks on Iran.",0,crowd size=no report; US-Iran regional conflict,1773061602,,,,
IRN36658,2026-03-09,2026,2,Demonstrations,Protests,Peaceful protest,Protesters (Iran),,6,,,0,60,,364,Middle East,Iran,South Khorasan,Birjand,Central,Birjand,32.8663,59.2211,1,FARS News Agency (Iran),National,"Around 9 March 2026 (as reported), residents marched in Birjand (Birjand, South Khorasan), showing their support for the appointment of Mojtaba Khamenei as Iran New Supreme leader, condemning the confirmed death of Iran's Supreme Leader Ali Khamenei, and chanting slogans and condemning the U.S. and Israeli attacks on Iran.",0,crowd size=no report; US-Iran regional conflict,1773061602,,,,
IRN36657,2026-03-09,2026,2,Demonstrations,Protests,Peaceful protest,Protesters (Iran),,6,,,0,60,,364,Middle East,Iran,Ardabil,Ardabil,Central,Ardabil,38.2498,48.2933,1,FARS News Agency (Iran),National,"Around 9 March 2026 (as reported), residents marched in Ardabil (Ardabil, Ardabil), showing their support for the appointment of Mojtaba Khamenei as Iran New Supreme leader, condemning the confirmed death of Iran's Supreme Leader Ali Khamenei, and chanting slogans and condemning the U.S. and Israeli attacks on Iran.",0,crowd size=no report; US-Iran regional conflict,1773061602,,,,
IRN36656,2026-03-09,2026,2,Demonstrations,Protests,Peaceful protest,Protesters (Iran),,6,,,0,60,,364,Middle East,Iran,Qazvin,Qazvin,Central,Qazvin,36.2688,50.0041,1,FARS News Agency (Iran); Mehr News Agency,National,"Around 9 March 2026 (as reported), residents marched in Qazvin (Qazvin, Qazvin), showing their support for the appointment of Mojtaba Khamenei as Iran New Supreme leader, condemning the confirmed death of Iran's Supreme Leader Ali Khamenei, and chanting slogans and condemning the U.S. and Israeli attacks on Iran.",0,crowd size=no report; US-Iran regional conflict,1773061602,,,,
